repo,full,visibility,updated,branch,ci,dependabot,branch_protection,open_prs,open_issues,vuln_alerts,status,priority,action_required
hedge,Rumblingb/hedge,PUBLIC,2026-07-12,master,True,False,False,1,0,False,NEEDS_WORK,HIGH,add_dependabot;add_branch_protection;review_1_prs
Agentpay,Rumblingb/Agentpay,PUBLIC,2026-07-12,main,True,False,False,1,0,False,NEEDS_WORK,HIGH,add_dependabot;add_branch_protection;review_1_prs
galatic-politics-,Rumblingb/galatic-politics-,PUBLIC,2026-07-11,main,False,False,False,1,0,False,NEEDS_WORK,HIGH,add_ci;add_dependabot;add_branch_protection;review_1_prs
awesome-free-dev-tools,Rumblingb/awesome-free-dev-tools,PUBLIC,2026-06-30,master,False,False,False,0,1,False,NEEDS_WORK,MED,add_ci;add_dependabot;add_branch_protection;triage_1_issues
mcp-config-generator,Rumblingb/mcp-config-generator,PUBLIC,2026-06-05,main,False,False,False,0,1,False,NEEDS_WORK,MED,add_ci;add_dependabot;add_branch_protection;triage_1_issues
agent-wallet-mcp,Rumblingb/agent-wallet-mcp,PUBLIC,2026-06-03,main,False,False,False,0,1,False,NEEDS_WORK,MED,add_ci;add_dependabot;add_branch_protection;triage_1_issues
mcp-server-directory,Rumblingb/mcp-server-directory,PUBLIC,2026-05-19,main,False,False,False,1,0,False,NEEDS_WORK,HIGH,add_ci;add_dependabot;add_branch_protection;review_1_prs
jacks-toolbox,Rumblingb/jacks-toolbox,PUBLIC,2026-05-13,master,False,False,False,0,1,False,NEEDS_WORK,LOW,add_ci;add_dependabot;add_branch_protection;triage_1_issues
mcp-directory,Rumblingb/mcp-directory,PUBLIC,2026-05-13,main,False,False,False,1,0,False,NEEDS_WORK,HIGH,add_ci;add_dependabot;add_branch_protection;review_1_prs
Iron-condor-v1,Rumblingb/Iron-condor-v1,PRIVATE,2025-01-13,main,False,False,False,1,0,False,NEEDS_WORK,HIGH,add_ci;add_dependabot;add_branch_protection;review_1_prs
regexlab,Rumblingb/regexlab,PUBLIC,2026-07-12,master,False,False,False,0,0,False,NEEDS_WORK,HIGH,add_ci;add_dependabot;add_branch_protection
july-2026-prize-hunt,Rumblingb/july-2026-prize-hunt,PRIVATE,2026-07-11,main,False,False,False,0,0,False,NEEDS_WORK,HIGH,add_ci;add_dependabot;add_branch_protection
triagegeist,Rumblingb/triagegeist,PUBLIC,2026-07-11,main,False,False,False,0,0,False,NEEDS_WORK,HIGH,add_ci;add_dependabot;add_branch_protection
raise,Rumblingb/raise,PUBLIC,2026-07-11,main,False,False,False,0,0,False,NEEDS_WORK,HIGH,add_ci;add_dependabot;add_branch_protection
thumbforge,Rumblingb/thumbforge,PUBLIC,2026-07-11,master,False,False,False,0,0,False,NEEDS_WORK,HIGH,add_ci;add_dependabot;add_branch_protection
loremipsum,Rumblingb/loremipsum,PUBLIC,2026-07-09,master,False,False,False,0,0,False,NEEDS_WORK,HIGH,add_ci;add_dependabot;add_branch_protection
slatemint,Rumblingb/slatemint,PUBLIC,2026-06-28,master,False,False,False,0,0,False,NEEDS_WORK,MED,add_ci;add_dependabot;add_branch_protection
agentpay-zero-stack,Rumblingb/agentpay-zero-stack,PUBLIC,2026-06-27,master,False,False,False,0,0,False,NEEDS_WORK,MED,add_ci;add_dependabot;add_branch_protection
agentpassport-hashkey,Rumblingb/agentpassport-hashkey,PUBLIC,2026-06-27,master,False,False,False,0,0,False,NEEDS_WORK,MED,add_ci;add_dependabot;add_branch_protection
agentpay-uipath-gateway,Rumblingb/agentpay-uipath-gateway,PUBLIC,2026-06-27,master,False,False,False,0,0,False,NEEDS_WORK,MED,add_ci;add_dependabot;add_branch_protection
uuidforge,Rumblingb/uuidforge,PUBLIC,2026-06-27,master,False,False,False,0,0,False,NEEDS_WORK,MED,add_ci;add_dependabot;add_branch_protection
agentpay-highway,Rumblingb/agentpay-highway,PUBLIC,2026-06-26,main,False,False,False,0,0,False,NEEDS_WORK,MED,add_ci;add_dependabot;add_branch_protection
