ts,symbol,open,high,low,close,volume
2026-06-08T04:00:00.000Z,ES,7416.75,7418.25,7416.5,7418.0,0
2026-06-08T04:01:00.000Z,ES,7418.0,7418.5,7417.5,7418.25,136
2026-06-08T04:02:00.000Z,ES,7418.25,7418.75,7418.0,7418.25,56
2026-06-08T04:03:00.000Z,ES,7418.0,7418.5,7414.5,7414.75,177
2026-06-08T04:04:00.000Z,ES,7414.75,7414.75,7412.5,7413.75,279
2026-06-08T04:05:00.000Z,ES,7413.5,7414.5,7410.75,7412.25,347
2026-06-08T04:06:00.000Z,ES,7412.25,7412.25,7410.5,7411.75,181
2026-06-08T04:07:00.000Z,ES,7411.75,7413.5,7411.0,7412.25,134
2026-06-08T04:08:00.000Z,ES,7412.5,7414.75,7412.5,7413.5,112
2026-06-08T04:09:00.000Z,ES,7413.5,7413.75,7412.5,7413.5,76
2026-06-08T04:10:00.000Z,ES,7413.25,7414.5,7412.75,7413.75,43
2026-06-08T04:11:00.000Z,ES,7413.75,7414.25,7412.5,7413.0,92
2026-06-08T04:12:00.000Z,ES,7412.5,7413.25,7411.25,7412.0,127
2026-06-08T04:13:00.000Z,ES,7411.75,7412.25,7411.0,7412.0,135
2026-06-08T04:14:00.000Z,ES,7412.0,7413.0,7411.75,7412.5,115
2026-06-08T04:15:00.000Z,ES,7412.75,7415.25,7412.0,7415.25,221
2026-06-08T04:16:00.000Z,ES,7415.5,7416.25,7414.5,7416.0,194
2026-06-08T04:17:00.000Z,ES,7415.5,7415.5,7413.75,7414.5,80
2026-06-08T04:18:00.000Z,ES,7414.5,7414.5,7413.0,7414.25,134
2026-06-08T04:19:00.000Z,ES,7414.0,7414.0,7410.5,7410.75,260
2026-06-08T04:20:00.000Z,ES,7410.75,7411.0,7409.25,7409.5,354
2026-06-08T04:21:00.000Z,ES,7409.0,7411.25,7408.5,7409.25,250
2026-06-08T04:22:00.000Z,ES,7409.25,7411.5,7409.25,7410.5,166
2026-06-08T04:23:00.000Z,ES,7410.5,7410.75,7408.75,7409.25,128
2026-06-08T04:24:00.000Z,ES,7409.25,7409.5,7407.75,7408.75,178
