"ts","symbol","open","high","low","close","volume"
"2026-03-30T04:00:00.000Z","ES","6408.25","6409.75","6408","6408.5","0"
"2026-03-30T04:01:00.000Z","ES","6408.75","6410.5","6408","6408.25","620"
"2026-03-30T04:02:00.000Z","ES","6408.5","6409","6407.75","6408","97"
"2026-03-30T04:03:00.000Z","ES","6408","6408","6406.25","6407.75","239"
"2026-03-30T04:04:00.000Z","ES","6407.75","6409.75","6407.75","6408.25","113"
"2026-03-30T04:05:00.000Z","ES","6408.25","6410","6408.25","6409.75","61"
"2026-03-30T04:06:00.000Z","ES","6409.75","6413.25","6409.75","6411.75","643"
"2026-03-30T04:07:00.000Z","ES","6411.5","6412.25","6411","6412.25","121"
"2026-03-30T04:08:00.000Z","ES","6411.75","6412","6410.75","6411.25","97"
"2026-03-30T04:09:00.000Z","ES","6411.25","6411.5","6410.25","6411.5","102"
"2026-03-30T04:10:00.000Z","ES","6411","6411","6409.5","6410","155"
"2026-03-30T04:11:00.000Z","ES","6410.25","6412","6410.25","6411.25","135"
"2026-03-30T04:12:00.000Z","ES","6411.25","6411.25","6410.5","6411","95"
"2026-03-30T04:13:00.000Z","ES","6411.5","6411.5","6410.75","6410.75","55"
"2026-03-30T04:14:00.000Z","ES","6410.5","6410.75","6409.75","6410.25","110"
"2026-03-30T04:15:00.000Z","ES","6410.25","6411","6409.75","6411","83"
"2026-03-30T04:16:00.000Z","ES","6411","6411.25","6410.75","6411.25","67"
"2026-03-30T04:17:00.000Z","ES","6411","6411.25","6410.5","6410.5","104"
"2026-03-30T04:18:00.000Z","ES","6410.5","6410.5","6409.75","6410.5","113"
"2026-03-30T04:19:00.000Z","ES","6410.75","6411.5","6410.25","6410.5","66"
"2026-03-30T04:20:00.000Z","ES","6410.5","6411.25","6410.5","6411.25","56"
"2026-03-30T04:21:00.000Z","ES","6411.5","6413","6411","6411.5","276"
"2026-03-30T04:22:00.000Z","ES","6411.5","6412.75","6411.5","6412.25","151"
"2026-03-30T04:23:00.000Z","ES","6412.25","6413","6412.25","6412.75","133"
"2026-03-30T04:24:00.000Z","ES","6412.75","6413.5","6412.25","6412.75","248"
"2026-03-30T04:25:00.000Z","ES","6412.5","6416","6412.5","6415.5","611"
"2026-03-30T04:26:00.000Z","ES","6415.25","6416.5","6415","6416.5","223"
"2026-03-30T04:27:00.000Z","ES","6416.5","6417","6416","6416.75","392"
"2026-03-30T04:28:00.000Z","ES","6416.5","6417","6416.5","6417","127"
"2026-03-30T04:29:00.000Z","ES","6416.75","6418.25","6415.25","6415.5","299"
"2026-03-30T04:30:00.000Z","ES","6415.5","6416","6413.5","6416","274"
"2026-03-30T04:31:00.000Z","ES","6415.75","6415.75","6415","6415.25","68"
"2026-03-30T04:32:00.000Z","ES","6415.25","6417","6415.25","6416.75","177"
"2026-03-30T04:33:00.000Z","ES","6417","6419","6416.75","6417.25","317"
"2026-03-30T04:34:00.000Z","ES","6417","6417.75","6416.75","6416.75","138"
"2026-03-30T04:35:00.000Z","ES","6416.25","6416.25","6413.25","6414","404"
"2026-03-30T04:36:00.000Z","ES","6414","6414.5","6413","6414.25","190"
"2026-03-30T04:37:00.000Z","ES","6414.25","6415.25","6414","6414.75","85"
"2026-03-30T04:38:00.000Z","ES","6414.75","6415.25","6414.25","6414.75","81"
"2026-03-30T04:39:00.000Z","ES","6414.75","6415.25","6414","6414.25","63"
"2026-03-30T04:40:00.000Z","ES","6414","6414","6412.25","6412.5","140"
"2026-03-30T04:41:00.000Z","ES","6412.5","6413","6411.5","6412.5","156"
"2026-03-30T04:42:00.000Z","ES","6412.5","6413.25","6412","6412.25","91"
"2026-03-30T04:43:00.000Z","ES","6412.25","6412.5","6411.5","6412","84"
"2026-03-30T04:44:00.000Z","ES","6412","6412.25","6411.5","6412.25","121"
"2026-03-30T04:45:00.000Z","ES","6412.5","6413","6412","6412.25","127"
"2026-03-30T04:46:00.000Z","ES","6412.5","6413","6411.5","6412","204"
"2026-03-30T04:47:00.000Z","ES","6411.75","6411.75","6409.75","6411.25","333"
"2026-03-30T04:48:00.000Z","ES","6411","6412","6411","6411.25","100"
"2026-03-30T04:49:00.000Z","ES","6411.25","6412.5","6411.25","6412.25","69"
"2026-03-30T04:50:00.000Z","ES","6412.25","6412.25","6410.75","6411","69"
"2026-03-30T04:51:00.000Z","ES","6410.75","6411.25","6409.25","6410","106"
"2026-03-30T04:52:00.000Z","ES","6410.25","6411.5","6410","6410.75","159"
"2026-03-30T04:53:00.000Z","ES","6410.75","6411.5","6410.5","6410.75","59"
"2026-03-30T04:54:00.000Z","ES","6410.75","6411","6410","6411","167"
"2026-03-30T04:55:00.000Z","ES","6411.25","6413","6411","6412.25","110"
"2026-03-30T04:56:00.000Z","ES","6412.25","6413","6411.5","6411.5","83"
"2026-03-30T04:57:00.000Z","ES","6411.5","6412.5","6411.5","6412","104"
"2026-03-30T04:58:00.000Z","ES","6411.75","6413","6411.75","6413","50"
"2026-03-30T04:59:00.000Z","ES","6412.75","6413","6411.25","6411.5","118"
"2026-03-30T05:00:00.000Z","ES","6411.25","6413.5","6411.25","6412.25","160"
"2026-03-30T05:01:00.000Z","ES","6412","6414.25","6412","6412.75","128"
"2026-03-30T05:02:00.000Z","ES","6412.75","6414.25","6412.25","6413.75","105"
"2026-03-30T05:03:00.000Z","ES","6413.75","6414","6412.75","6412.75","58"
"2026-03-30T05:04:00.000Z","ES","6412.75","6414","6412.75","6413.75","84"
"2026-03-30T05:05:00.000Z","ES","6413.75","6414","6412.75","6413.75","94"
"2026-03-30T05:06:00.000Z","ES","6413.75","6415","6413.5","6413.5","128"
"2026-03-30T05:07:00.000Z","ES","6413.75","6416.25","6413.75","6415.25","151"
"2026-03-30T05:08:00.000Z","ES","6415.25","6417.5","6414.5","6417.25","176"
"2026-03-30T05:09:00.000Z","ES","6417.25","6418.5","6416.75","6418.5","190"
"2026-03-30T05:10:00.000Z","ES","6418.25","6420.75","6418","6419","1259"
"2026-03-30T05:11:00.000Z","ES","6419","6420","6418.5","6419.75","183"
"2026-03-30T05:12:00.000Z","ES","6419.5","6419.75","6418.5","6418.5","142"
"2026-03-30T05:13:00.000Z","ES","6418.75","6419","6415.75","6416","192"
"2026-03-30T05:14:00.000Z","ES","6415.75","6416.25","6414.5","6415","176"
"2026-03-30T05:15:00.000Z","ES","6415","6417","6415","6416.75","115"
"2026-03-30T05:16:00.000Z","ES","6416.5","6419","6416.5","6417.75","144"
"2026-03-30T05:17:00.000Z","ES","6417.5","6418.25","6417.25","6418","101"
"2026-03-30T05:18:00.000Z","ES","6418","6419.25","6418","6418.5","128"
"2026-03-30T05:19:00.000Z","ES","6418.5","6418.5","6417.75","6418","62"
"2026-03-30T05:20:00.000Z","ES","6418.25","6418.75","6416.25","6418.5","212"
"2026-03-30T05:21:00.000Z","ES","6418.25","6419.25","6417.5","6419","217"
"2026-03-30T05:22:00.000Z","ES","6419","6419.75","6416.75","6418.5","124"
"2026-03-30T05:23:00.000Z","ES","6418.5","6418.5","6416","6417","191"
"2026-03-30T05:24:00.000Z","ES","6417","6418.5","6417","6418.5","62"
"2026-03-30T05:25:00.000Z","ES","6418.5","6418.5","6417.25","6417.75","74"
"2026-03-30T05:26:00.000Z","ES","6417.75","6418.5","6416.25","6418.5","126"
"2026-03-30T05:27:00.000Z","ES","6418","6420.25","6418","6419.25","146"
"2026-03-30T05:28:00.000Z","ES","6418.75","6419.25","6417.25","6417.5","163"
"2026-03-30T05:29:00.000Z","ES","6417.5","6417.75","6416","6416.25","132"
"2026-03-30T05:30:00.000Z","ES","6416.25","6417.25","6415.25","6416.5","219"
"2026-03-30T05:31:00.000Z","ES","6416.25","6417.5","6416","6417.25","82"
"2026-03-30T05:32:00.000Z","ES","6417.25","6417.75","6417","6417.5","109"
"2026-03-30T05:33:00.000Z","ES","6417.5","6419","6417","6417.25","199"
"2026-03-30T05:34:00.000Z","ES","6417.25","6418.75","6416.75","6418.75","96"
"2026-03-30T05:35:00.000Z","ES","6419","6419.25","6417","6417.25","98"
"2026-03-30T05:36:00.000Z","ES","6417.25","6418","6417","6417.25","96"
"2026-03-30T05:37:00.000Z","ES","6417.25","6417.5","6416.25","6417.25","108"
"2026-03-30T05:38:00.000Z","ES","6417","6417","6414.5","6415","118"
"2026-03-30T05:39:00.000Z","ES","6415.5","6415.5","6413.5","6414.25","241"
"2026-03-30T05:40:00.000Z","ES","6414.25","6415","6413.75","6414.5","168"
"2026-03-30T05:41:00.000Z","ES","6414.75","6416.5","6414.75","6415.75","163"
"2026-03-30T05:42:00.000Z","ES","6415.75","6415.75","6414","6414.5","77"
"2026-03-30T05:43:00.000Z","ES","6414.5","6415.5","6414.25","6415","117"
"2026-03-30T05:44:00.000Z","ES","6415.25","6415.25","6413.25","6414.25","245"
"2026-03-30T05:45:00.000Z","ES","6414.5","6416.75","6414.5","6416.25","171"
"2026-03-30T05:46:00.000Z","ES","6416","6416","6412.5","6412.75","148"
"2026-03-30T05:47:00.000Z","ES","6413","6413.25","6412.5","6412.75","143"
"2026-03-30T05:48:00.000Z","ES","6412.75","6415","6412","6414.25","165"
"2026-03-30T05:49:00.000Z","ES","6414.25","6415.5","6413.25","6415","147"
"2026-03-30T05:50:00.000Z","ES","6415.25","6416.75","6414.75","6415.75","258"
"2026-03-30T05:51:00.000Z","ES","6415.75","6418.5","6415","6418.5","201"
"2026-03-30T05:52:00.000Z","ES","6418.25","6418.5","6417.25","6417.25","117"
"2026-03-30T05:53:00.000Z","ES","6417.5","6417.75","6416.5","6417.5","101"
"2026-03-30T05:54:00.000Z","ES","6417.25","6419.5","6417.25","6419","164"
"2026-03-30T05:55:00.000Z","ES","6419","6419","6417","6417.5","80"
"2026-03-30T05:56:00.000Z","ES","6417.5","6419.5","6417.5","6418.5","166"
"2026-03-30T05:57:00.000Z","ES","6418","6419","6417.25","6419","87"
"2026-03-30T05:58:00.000Z","ES","6418.75","6418.75","6417.25","6418.5","92"
"2026-03-30T05:59:00.000Z","ES","6418.5","6418.5","6416.75","6416.75","152"
"2026-03-30T06:00:00.000Z","ES","6416.75","6418.5","6415.25","6418.25","295"
"2026-03-30T06:01:00.000Z","ES","6418","6419.5","6417.5","6418.5","188"
"2026-03-30T06:02:00.000Z","ES","6418.75","6422","6418.5","6421.5","501"
"2026-03-30T06:03:00.000Z","ES","6421.25","6421.25","6415.5","6418.5","408"
"2026-03-30T06:04:00.000Z","ES","6418.75","6421.5","6418.75","6421","161"
"2026-03-30T06:05:00.000Z","ES","6421","6421.75","6419.5","6419.5","142"
"2026-03-30T06:06:00.000Z","ES","6419.5","6421.75","6419.5","6421.75","190"
"2026-03-30T06:07:00.000Z","ES","6421.75","6423.25","6421.75","6423","251"
"2026-03-30T06:08:00.000Z","ES","6423","6424","6421.5","6422","454"
"2026-03-30T06:09:00.000Z","ES","6422","6422.5","6420","6420.25","123"
"2026-03-30T06:10:00.000Z","ES","6420.5","6420.75","6418.25","6419.5","396"
"2026-03-30T06:11:00.000Z","ES","6419.5","6420","6417.75","6418.5","145"
"2026-03-30T06:12:00.000Z","ES","6418.5","6419.75","6418","6418.5","199"
"2026-03-30T06:13:00.000Z","ES","6418.5","6420.5","6418.5","6420.25","193"
"2026-03-30T06:14:00.000Z","ES","6420","6420","6418.75","6419.5","151"
"2026-03-30T06:15:00.000Z","ES","6419.5","6421.25","6419.5","6420.25","147"
"2026-03-30T06:16:00.000Z","ES","6420.5","6422.25","6420.25","6422","122"
"2026-03-30T06:17:00.000Z","ES","6421.5","6422.25","6421.25","6421.75","110"
"2026-03-30T06:18:00.000Z","ES","6421.75","6423.5","6421.25","6422.5","196"
"2026-03-30T06:19:00.000Z","ES","6422.5","6424.25","6421.25","6421.75","225"
"2026-03-30T06:20:00.000Z","ES","6421.75","6422.25","6420.75","6422","120"
"2026-03-30T06:21:00.000Z","ES","6422","6422.5","6422","6422.25","80"
"2026-03-30T06:22:00.000Z","ES","6422.25","6423","6422","6422.75","199"
