"ts","symbol","open","high","low","close","volume"
"2026-03-30T04:00:00.000Z","NQ","23296.25","23303","23296.25","23300","0"
"2026-03-30T04:01:00.000Z","NQ","23300","23308","23297.5","23298.75","216"
"2026-03-30T04:02:00.000Z","NQ","23297.75","23302.25","23294.75","23296.75","65"
"2026-03-30T04:03:00.000Z","NQ","23296.25","23296.5","23288.25","23293","100"
"2026-03-30T04:04:00.000Z","NQ","23292.25","23301.75","23292.25","23297.5","77"
"2026-03-30T04:05:00.000Z","NQ","23296.75","23303","23295.75","23301.5","31"
"2026-03-30T04:06:00.000Z","NQ","23303.25","23312.75","23301.25","23308","668"
"2026-03-30T04:07:00.000Z","NQ","23307.25","23312.25","23304.75","23309.75","81"
"2026-03-30T04:08:00.000Z","NQ","23309.25","23309.5","23304","23307.75","54"
"2026-03-30T04:09:00.000Z","NQ","23305","23307.25","23302.5","23307.25","32"
"2026-03-30T04:10:00.000Z","NQ","23306.5","23307.25","23298.25","23302.5","111"
"2026-03-30T04:11:00.000Z","NQ","23304.75","23313","23304.75","23306.5","85"
"2026-03-30T04:12:00.000Z","NQ","23306","23307.5","23302.75","23306.75","38"
"2026-03-30T04:13:00.000Z","NQ","23309.25","23310.5","23305.75","23306","29"
"2026-03-30T04:14:00.000Z","NQ","23305","23305.25","23301","23304.25","35"
"2026-03-30T04:15:00.000Z","NQ","23303.5","23306.75","23302.5","23305.75","30"
"2026-03-30T04:16:00.000Z","NQ","23306.5","23309.25","23306.25","23308","32"
"2026-03-30T04:17:00.000Z","NQ","23308","23309.5","23306.5","23307.25","29"
"2026-03-30T04:18:00.000Z","NQ","23305.5","23306","23301.25","23306","94"
"2026-03-30T04:19:00.000Z","NQ","23306.5","23309.25","23305.5","23306.25","46"
"2026-03-30T04:20:00.000Z","NQ","23307","23312.25","23307","23310.75","32"
"2026-03-30T04:21:00.000Z","NQ","23312","23320","23310","23314.25","390"
"2026-03-30T04:22:00.000Z","NQ","23313.75","23318.75","23313.75","23318.5","98"
"2026-03-30T04:23:00.000Z","NQ","23318","23319.75","23316.75","23318.75","56"
