series_id,yahoo_symbol,ts,value,change_1d_pct,change_20d_pct,change_60d_pct
vix,^VIX,2026-05-06T07:00:00.000Z,17.299999237060547,-0.46,-17.78,-0.35
vix3m,^VIX3M,2026-05-06T13:30:00.000Z,20.469999313354492,-1.68,-9.74,1.89
tnx,^TNX,2026-05-06T12:20:00.000Z,4.355999946594238,-1.36,1.51,3.76
fvx,^FVX,2026-05-06T12:20:00.000Z,4,-1.77,2.04,6.92
irx,^IRX,2026-05-06T12:20:00.000Z,3.5999999046325684,0,0,0.19
dxy,DX-Y.NYB,2026-05-06T04:00:00.000Z,97.98100280761719,-0.51,-1.16,1.2
hyg,HYG,2026-05-06T13:30:00.000Z,80.16500091552734,0.31,-0.03,-0.93
lqd,LQD,2026-05-06T13:30:00.000Z,109.20999908447266,0.52,-0.26,-1.22
spy,SPY,2026-05-06T13:30:00.000Z,731.6799926757812,1.09,8.24,5.44
tlt,TLT,2026-05-06T13:30:00.000Z,86.06500244140625,0.74,-0.98,-1.66
