ts,symbol,open,high,low,close,volume
2026-03-16T04:00:00.000Z,ES,6608.5,6734.25,6608.5,6704.75,2025388
2026-03-17T04:00:00.000Z,ES,6700,6757.5,6665.25,6721.75,834934
2026-03-18T04:00:00.000Z,ES,6722.5,6762.25,6604,6626,501911
2026-03-19T04:00:00.000Z,ES,6622,6644.5,6561.75,6609.25,450179
2026-03-20T04:00:00.000Z,ES,6622.75,6635,6558,6594.6298828125,2011431
2026-03-23T04:00:00.000Z,ES,6510,6748,6483.5,6634.75,2176195
2026-03-24T04:00:00.000Z,ES,6635,6680.5,6573.5,6606,1924003
2026-03-25T04:00:00.000Z,ES,6646.5,6684.75,6616.5,6640.75,1709266
2026-03-26T04:00:00.000Z,ES,6641.5,6647,6517,6525,1689160
2026-03-27T04:00:00.000Z,ES,6536,6568.5,6389,6412.25,1918291
2026-03-30T04:00:00.000Z,ES,6380,6481.75,6359.5,6388.25,1793061
2026-03-31T04:00:00.000Z,ES,6385.25,6583.25,6353.25,6570.75,2363577
2026-04-01T04:00:00.000Z,ES,6562,6653.75,6561,6617.75,1752607
2026-04-02T04:00:00.000Z,ES,6618.5,6644.5,6503.75,6622.25,1965184
2026-04-06T04:00:00.000Z,ES,6590,6661,6567,6651,1103916
2026-04-07T04:00:00.000Z,ES,6650.5,6673.5,6572.75,6656.75,1997800
2026-04-08T04:00:00.000Z,ES,6689,6847.25,6652.25,6823.75,2199329
2026-04-09T04:00:00.000Z,ES,6814.25,6876,6792.5,6863.25,1604541
2026-04-10T04:00:00.000Z,ES,6858,6888,6846.25,6855.25,1312566
2026-04-13T04:00:00.000Z,ES,6780,6928.25,6767,6922.75,1312566
2026-04-14T04:00:00.000Z,ES,7004,7009,7001.75,7006.25,6097
