ts,symbol,open,high,low,close,volume
2026-03-16T04:00:00.000Z,NQ,24285,24816.25,24278,24675.75,413547
2026-03-17T04:00:00.000Z,NQ,24668.75,24896,24517,24795.5,204810
2026-03-18T04:00:00.000Z,NQ,24796,24989,24350,24434.5,126918
2026-03-19T04:00:00.000Z,NQ,24399.75,24505.25,24115,24364,69553
2026-03-20T04:00:00.000Z,NQ,24417.25,24444,24108.75,24291.779296875,611673
2026-03-23T04:00:00.000Z,NQ,23902,24763,23772.5,24408.25,683625
2026-03-24T04:00:00.000Z,NQ,24417.25,24550,24134,24213.75,544209
2026-03-25T04:00:00.000Z,NQ,24420,24539.75,24286.5,24367.75,525449
2026-03-26T04:00:00.000Z,NQ,24373.5,24421.25,23763.25,23794.25,557306
2026-03-27T04:00:00.000Z,NQ,23824,23976,23232.5,23328.5,559271
2026-03-30T04:00:00.000Z,NQ,23189.5,23574,23024.5,23139.75,559453
2026-03-31T04:00:00.000Z,NQ,23119.5,23975.25,22961.5,23915,755160
2026-04-01T04:00:00.000Z,NQ,23889,24348.25,23880,24194.75,579693
2026-04-02T04:00:00.000Z,NQ,24180,24266.75,23666,24218,576893
2026-04-06T04:00:00.000Z,NQ,24093.5,24452.25,23981.5,24358.5,444473
2026-04-07T04:00:00.000Z,NQ,24348.75,24451.5,23941.5,24371,575961
2026-04-08T04:00:00.000Z,NQ,24514,25257,24355,25074.25,644388
2026-04-09T04:00:00.000Z,NQ,25037.75,25269.75,24953,25251.5,514186
2026-04-10T04:00:00.000Z,NQ,25237,25393,25193,25281.25,430719
2026-04-13T04:00:00.000Z,NQ,24980,25599.25,24904.5,25543.5,430719
2026-04-14T04:00:00.000Z,NQ,25985.75,26015,25976.5,25997.5,5366
