strategy,timeframe,range_window,vol_threshold,exit_offset,trades,filtered,wins,losses,wr,total_r,pnl
orb-breakout,15m,8,1.3,3,487,322,281,41,57.7,187.44,94522.0
orb-breakout,15m,8,1.3,5,487,322,291,31,59.8,270.15,173705.0
orb-breakout,15m,8,1.3,8,487,322,296,26,60.8,392.2,372181.0
orb-breakout,15m,8,1.5,3,376,257,213,44,56.6,144.33,73582.0
orb-breakout,15m,8,1.5,5,376,257,227,30,60.4,214.21,142547.0
orb-breakout,15m,8,1.5,8,376,257,228,29,60.6,300.89,306994.0
orb-breakout,15m,8,2.0,3,214,159,124,35,57.9,110.93,63307.0
orb-breakout,15m,8,2.0,5,214,159,139,20,65.0,176.79,152726.0
orb-breakout,15m,8,2.0,8,214,159,137,22,64.0,239.92,257077.0
orb-breakout,15m,10,1.3,3,487,322,281,41,57.7,187.44,94522.0
orb-breakout,15m,10,1.3,5,487,322,291,31,59.8,270.15,173705.0
orb-breakout,15m,10,1.3,8,487,322,296,26,60.8,392.2,372181.0
orb-breakout,15m,10,1.5,3,376,257,213,44,56.6,144.33,73582.0
orb-breakout,15m,10,1.5,5,376,257,227,30,60.4,214.21,142547.0
orb-breakout,15m,10,1.5,8,376,257,228,29,60.6,300.89,306994.0
orb-breakout,15m,10,2.0,3,214,159,124,35,57.9,110.93,63307.0
orb-breakout,15m,10,2.0,5,214,159,139,20,65.0,176.79,152726.0
orb-breakout,15m,10,2.0,8,214,159,137,22,64.0,239.92,257077.0
orb-breakout,15m,12,1.3,3,487,322,281,41,57.7,187.44,94522.0
orb-breakout,15m,12,1.3,5,487,322,291,31,59.8,270.15,173705.0
orb-breakout,15m,12,1.3,8,487,322,296,26,60.8,392.2,372181.0
orb-breakout,15m,12,1.5,3,376,257,213,44,56.6,144.33,73582.0
orb-breakout,15m,12,1.5,5,376,257,227,30,60.4,214.21,142547.0
orb-breakout,15m,12,1.5,8,376,257,228,29,60.6,300.89,306994.0
orb-breakout,15m,12,2.0,3,214,159,124,35,57.9,110.93,63307.0
orb-breakout,15m,12,2.0,5,214,159,139,20,65.0,176.79,152726.0
orb-breakout,15m,12,2.0,8,214,159,137,22,64.0,239.92,257077.0
orb-breakout,15m,14,1.3,3,484,320,279,41,57.6,185.17,93753.0
orb-breakout,15m,14,1.3,5,484,320,288,32,59.5,262.7,168741.0
orb-breakout,15m,14,1.3,8,484,320,293,27,60.5,383.81,364504.0
orb-breakout,15m,14,1.5,3,373,255,211,44,56.6,142.06,72758.0
orb-breakout,15m,14,1.5,5,373,255,224,31,60.1,206.76,137409.0
orb-breakout,15m,14,1.5,8,373,255,225,30,60.3,292.5,299076.0
orb-breakout,15m,14,2.0,3,213,158,124,34,58.2,111.05,63817.0
orb-breakout,15m,14,2.0,5,213,158,138,20,64.8,174.32,150271.0
orb-breakout,15m,14,2.0,8,213,158,136,22,63.8,235.04,250139.0
orb-breakout,15m,16,1.3,3,484,320,279,41,57.6,185.17,93753.0
orb-breakout,15m,16,1.3,5,484,320,288,32,59.5,262.7,168741.0
orb-breakout,15m,16,1.3,8,484,320,293,27,60.5,383.81,364504.0
orb-breakout,15m,16,1.5,3,373,255,211,44,56.6,142.06,72758.0
orb-breakout,15m,16,1.5,5,373,255,224,31,60.1,206.76,137409.0
orb-breakout,15m,16,1.5,8,373,255,225,30,60.3,292.5,299076.0
orb-breakout,15m,16,2.0,3,213,158,124,34,58.2,111.05,63817.0
orb-breakout,15m,16,2.0,5,213,158,138,20,64.8,174.32,150271.0
orb-breakout,15m,16,2.0,8,213,158,136,22,63.8,235.04,250139.0
orb-breakout,15m,20,1.3,3,483,320,278,42,57.6,180.6,91717.0
orb-breakout,15m,20,1.3,5,483,320,287,33,59.4,257.7,165732.0
orb-breakout,15m,20,1.3,8,483,320,292,28,60.5,377.0,357794.0
orb-breakout,15m,20,1.5,3,372,254,210,44,56.5,137.49,69647.0
orb-breakout,15m,20,1.5,5,372,254,223,31,59.9,201.77,131536.0
orb-breakout,15m,20,1.5,8,372,254,224,30,60.2,285.69,285985.0
orb-breakout,15m,20,2.0,3,212,158,123,35,58.0,106.48,59669.0
orb-breakout,15m,20,2.0,5,212,158,137,21,64.6,169.32,145217.0
orb-breakout,15m,20,2.0,8,212,158,135,23,63.7,228.23,241863.0
orb-breakout,30m,8,1.3,3,283,175,163,12,57.6,116.21,85798.0
orb-breakout,30m,8,1.3,5,283,175,173,2,61.1,191.03,192876.0
orb-breakout,30m,8,1.3,8,283,175,169,6,59.7,281.11,359427.0
orb-breakout,30m,8,1.5,3,220,145,126,19,57.3,107.12,90942.0
orb-breakout,30m,8,1.5,5,220,145,136,9,61.8,148.69,164452.0
orb-breakout,30m,8,1.5,8,220,145,137,8,62.3,219.22,304623.0
